Entrez,Term
4326237,GO:0006468
4326239,GO:0006468
4326240,GO:0008152
9267695,GO:0007018
4325115,GO:0006952
4325120,GO:0006355
4325125,GO:0009058
4325127,GO:0006979
4325127,GO:0055114
4325129,GO:0006979
4325129,GO:0055114
4326204,GO:0006810
4326208,GO:0007264
4326209,GO:0055085
4324375,GO:0009058
4324378,GO:0006139
4324378,GO:0032259
4324386,GO:0055085
4326261,GO:0006265
4326266,GO:0008152
4326273,GO:0006979
4326273,GO:0055114
4325167,GO:0006412
4325167,GO:0006418
4325167,GO:0006424
4325167,GO:0043039
4325168,GO:0006508
4325169,GO:0006464
4325169,GO:0045116
4325176,GO:0006457
4325177,GO:0055114
4325181,GO:0006355
4324441,GO:0006412
4324442,GO:0006099
4324442,GO:0055114
4324258,GO:0006820
4324258,GO:0044070
4324258,GO:0055085
4324261,GO:0000105
4324263,GO:0006096
4324267,GO:0006355
4326901,GO:0015979
4326901,GO:0015995
4326901,GO:0055114
4326904,GO:0055085
4326905,GO:0055085
4326907,GO:0006351
4326907,GO:0006355
4326910,GO:0042256
4326914,GO:0000079
4326914,GO:0051726
4326915,GO:0006886
4326915,GO:0016192
4327909,GO:0044237
4327912,GO:0006457
4327914,GO:0006355
4327915,GO:0015031
4327918,GO:0006779
4327918,GO:0055114
4325148,GO:0005975
4325148,GO:0006032
4325148,GO:0016998
4325154,GO:0006508
4325154,GO:0006629
4325155,GO:0008152
4325157,GO:0008152
4325161,GO:0006468
4325161,GO:0007165
4325163,GO:0006556
4326716,GO:0006979
4326716,GO:0055114
4326717,GO:0006470
4326719,GO:0006468
4326720,GO:0006468
4326721,GO:0005975
4326722,GO:0005975
4325775,GO:0006139
4325776,GO:0006139
4325777,GO:0008152
4325777,GO:0044262
4325788,GO:0006355
4327757,GO:0006812
4327757,GO:0055085
4327761,GO:0030001
4327762,GO:0006629
4327762,GO:0016042
9270747,GO:0006468
9266030,GO:0006468
4327772,GO:0006470
4327772,GO:0016311
4327282,GO:0042545
4327285,GO:0042545
4327286,GO:0005975
4327287,GO:0006355
4327289,GO:0008152
4327289,GO:0046949
4327292,GO:0006950
4327295,GO:0044237
4327279,GO:0006605
4327279,GO:0006886
4327279,GO:0017038
4326988,GO:0006886
4326988,GO:0006888
4326992,GO:0006468
4326993,GO:0006468
4326996,GO:0006556
4327001,GO:0006979
4327001,GO:0055114
4327002,GO:0006979
4327002,GO:0055114
4326968,GO:0006979
4326968,GO:0055114
4326969,GO:0006979
4326969,GO:0055114
4326970,GO:0006979
4326970,GO:0055114
4326972,GO:0006468
4326977,GO:0006412
4326980,GO:0045454
4326980,GO:0055114
4326981,GO:0006486
4326982,GO:0008152
4326983,GO:0005975
4326986,GO:0006629
9267146,GO:0006629
4326839,GO:0006508
4326840,GO:0006508
4326844,GO:0006952
4326849,GO:0045454
4326849,GO:0055114
4326797,GO:0006886
4326806,GO:0006662
4326806,GO:0045454
4326488,GO:0006606
4326488,GO:0006886
4326489,GO:0006355
4326496,GO:0006470
4326496,GO:0016311
