Child,Ancestor
GO:1901271,GO:1901137
GO:0015937,GO:0009152
GO:0034249,GO:0051172
GO:0044262,GO:0044237
GO:0042181,GO:0044249
GO:0044264,GO:0044260
GO:0009892,GO:0019222
GO:0000079,GO:1904029
GO:0022607,GO:0044085
GO:0044264,GO:0044262
GO:0071616,GO:0009152
GO:0009206,GO:0009145
GO:0034645,GO:0044260
GO:1901293,GO:0006753
GO:0051274,GO:0051273
GO:0006026,GO:1901565
GO:0022414,GO:0000003
GO:0006421,GO:0006418
GO:0032259,GO:0008152
GO:0032271,GO:0043254
GO:0005992,GO:0005991
GO:0009088,GO:0009067
GO:0006221,GO:0072528
GO:0008202,GO:0006629
GO:0034220,GO:0006811
GO:0032774,GO:0016070
GO:0030036,GO:0030029
GO:0017148,GO:0032269
GO:0019438,GO:0044249
GO:0031163,GO:0022607
GO:0006575,GO:1901564
GO:0034728,GO:0006325
GO:0065004,GO:0071824
GO:0015940,GO:0043604
GO:0034754,GO:0044237
GO:0051239,GO:0050789
GO:0009110,GO:0006766
GO:0046390,GO:0019693
GO:0009791,GO:0032501
GO:0006996,GO:0016043
GO:0003333,GO:0006865
GO:0046031,GO:0009150
GO:0030244,GO:0051274
GO:0030163,GO:1901565
GO:0032269,GO:0051248
GO:0034654,GO:0019438
GO:0044237,GO:0009987
GO:0042398,GO:1901566
GO:0051640,GO:0051641
GO:0044728,GO:0006304
GO:1903506,GO:2001141
GO:0046467,GO:0006643
GO:0007165,GO:0023052
GO:0033554,GO:0006950
GO:0010035,GO:0042221
GO:0032879,GO:0050789
GO:0045859,GO:0043549
GO:0009132,GO:0006753
GO:0030036,GO:0007010
GO:0006833,GO:0042044
GO:1902600,GO:0098662
GO:0008033,GO:0034470
GO:0006417,GO:2000112
GO:0072522,GO:0018130
GO:0065004,GO:0034622
GO:0097472,GO:0004672
GO:0006811,GO:0006810
GO:0034655,GO:0046700
GO:0042723,GO:0072527
GO:2000026,GO:0050793
GO:0006650,GO:0006644
GO:0034654,GO:0006139
GO:0004672,GO:0140096
GO:0010228,GO:0048608
GO:0008064,GO:0110053
GO:0044036,GO:0071554
GO:0006325,GO:0016043
GO:0001932,GO:0031399
GO:0044260,GO:0044237
GO:0090567,GO:0009791
GO:0006928,GO:0009987
GO:0033866,GO:1901293
GO:0044264,GO:0005976
GO:0006897,GO:0016192
GO:0015740,GO:0006835
GO:0006904,GO:0048278
GO:0000910,GO:0051301
GO:0034622,GO:0065003
GO:0044271,GO:0034641
GO:0009966,GO:0023051
GO:0033014,GO:0033013
GO:0042886,GO:0071705
GO:0071555,GO:0071554
GO:0006772,GO:0042723
GO:0010605,GO:0009892
GO:0009086,GO:0009067
GO:0006417,GO:0032268
GO:0009308,GO:1901564
GO:0005977,GO:0006112
GO:0046483,GO:0044237
GO:0019751,GO:0006066
GO:0009269,GO:0009414
GO:0006401,GO:0016070
GO:0009100,GO:0019538
GO:0044255,GO:0006629
GO:0008652,GO:0006520
GO:0051128,GO:0050794
GO:1905039,GO:0098656
GO:0034249,GO:0031324
GO:0072594,GO:0045184
GO:0016458,GO:0010629
GO:0006308,GO:0044265
GO:0006814,GO:0015672
GO:0009966,GO:0048583
GO:0140096,GO:0003824
GO:0055114,GO:0008152
GO:0008299,GO:0044249
GO:0035383,GO:0006790
GO:0006164,GO:0009165
GO:0034654,GO:0018130
GO:0009229,GO:0044272
GO:0034033,GO:0034032
GO:0071704,GO:0008152
GO:0022613,GO:0044085
GO:0019856,GO:0072528
GO:0006281,GO:0006974
GO:0051169,GO:0046907
GO:0045454,GO:0019725
GO:0009259,GO:0009117
GO:0032787,GO:0019752
GO:0006417,GO:0010608
GO:0006520,GO:1901564
GO:0006664,GO:1903509
GO:0043043,GO:0006518
GO:0042218,GO:1901607
GO:0016311,GO:0006796
GO:0006869,GO:0071702
GO:0006740,GO:0006739
GO:0035434,GO:0006825
GO:0042364,GO:0006767
GO:0072521,GO:0046483
GO:0051246,GO:0051171
GO:0006790,GO:0044237
GO:0006098,GO:0006740
GO:1901361,GO:1901360
GO:0009451,GO:0016070
GO:0043086,GO:0044092
GO:0016053,GO:0006082
GO:0034312,GO:0034311
GO:0019219,GO:0031323
GO:0071669,GO:0071554
GO:0009141,GO:0006753
GO:0006662,GO:0018904
GO:0009063,GO:1901565
GO:0006886,GO:0034613
GO:0006904,GO:0006887
GO:0046470,GO:1901564
GO:0051103,GO:0006266
GO:1901663,GO:0042181
GO:0009060,GO:0045333
GO:0016075,GO:0016072
GO:0016567,GO:0032446
GO:0060255,GO:0019222
GO:0098662,GO:0098660
GO:0006425,GO:0006418
GO:0006325,GO:0051276
GO:0044255,GO:0044237
GO:0033014,GO:1901362
GO:0097659,GO:0032774
GO:0009073,GO:0009072
GO:0043086,GO:0050790
GO:0016053,GO:0044249
GO:0019321,GO:0005996
GO:0009451,GO:0043412
GO:0009611,GO:0006950
GO:0009063,GO:0046395
GO:0045229,GO:0016043
GO:0031497,GO:0022607
GO:0006739,GO:0008152
GO:0006865,GO:0046942
GO:0006465,GO:0044267
GO:0098662,GO:0098655
GO:0009890,GO:0009892
GO:0006436,GO:0006418
GO:0071554,GO:0009987
GO:0043039,GO:0043038
GO:0006220,GO:0009117
GO:0009664,GO:0071555
GO:0006541,GO:0009064
GO:0016226,GO:0006790
GO:0006351,GO:0010467
GO:1901607,GO:0008652
GO:0009725,GO:0009719
GO:0019752,GO:0043436
GO:0070727,GO:0051641
GO:0016485,GO:0006508
GO:0009126,GO:0009123
GO:0019219,GO:0051171
GO:0006729,GO:0046146
GO:0004693,GO:0004674
GO:0044257,GO:0044265
GO:0035337,GO:1901568
GO:0044257,GO:0044267
GO:0009890,GO:0009889
GO:0009234,GO:0009233
GO:0046348,GO:0006040
GO:0046351,GO:0005984
GO:0006757,GO:0006165
GO:1901361,GO:1901575
GO:0006753,GO:0019637
GO:0015995,GO:0006779
GO:0015979,GO:0044237
GO:0016117,GO:0016116
GO:0006665,GO:0006643
GO:0045047,GO:0072599
GO:0043254,GO:0051128
GO:0033013,GO:0046483
GO:0051604,GO:0019538
GO:0009229,GO:0072528
GO:0023051,GO:0050789
GO:0009765,GO:0019684
GO:0097472,GO:0051726
GO:0019439,GO:0044248
GO:0017038,GO:0015031
GO:0071265,GO:0009086
GO:0006904,GO:0140029
GO:0043043,GO:1901566
GO:0004672,GO:0016301
GO:0007015,GO:0097435
GO:0016117,GO:0016109
GO:0006629,GO:0071704
GO:0006644,GO:0006796
GO:0009101,GO:0034645
GO:0006887,GO:0032940
GO:1901661,GO:0042180
GO:0042357,GO:0019637
GO:0042558,GO:0046483
GO:0005986,GO:0005985
GO:0016053,GO:0044283
GO:0009245,GO:0009247
GO:0034655,GO:0044270
GO:0004672,GO:0016773
GO:0009142,GO:1901293
GO:0006886,GO:0015031
GO:0000105,GO:0006547
GO:0006026,GO:0006022
GO:0046112,GO:1901362
GO:0006413,GO:0006412
GO:0016998,GO:0044265
GO:0072528,GO:1901362
GO:0000917,GO:0090529
GO:0044706,GO:0051704
GO:0033014,GO:1901566
GO:0010556,GO:0060255
GO:0006888,GO:0048193
